bulan;tahun;curah_hujan_mm
1;2021;334
2;2021;264
3;2021;316
4;2021;230
5;2021;123
6;2021;272
7;2021;16
8;2021;12
9;2021;170
10;2021;173
11;2021;472
12;2021;356
1;2022;255
2;2022;251
3;2022;422
4;2022;339
5;2022;207.8
6;2022;279.8
7;2022;97
8;2022;53.2
9;2022;100.4
10;2022;560.2
11;2022;480
12;2022;413.3
1;2023;259
2;2023;392.9
3;2023;347.5
4;2023;380.6
5;2023;76
6;2023;5
7;2023;21
8;2023;1
9;2023;0
10;2023;0
11;2023;195.5
12;2023;276.5
1;2024;657.5
2;2024;332.5
3;2024;273.5
4;2024;452.7
5;2024;29
6;2024;52.6
7;2024;25
