bulan;tahun;banjir
1;2021;1
2;2021;1
3;2021;1
4;2021;1
5;2021;1
6;2021;1
7;2021;1
8;2021;1
9;2021;1
10;2021;1
11;2021;1
12;2021;1
1;2022;1
2;2022;1
3;2022;1
4;2022;1
5;2022;1
6;2022;1
7;2022;1
8;2022;1
9;2022;1
10;2022;1
11;2022;1
12;2022;1
1;2023;0
2;2023;0
3;2023;0
4;2023;0
5;2023;0
6;2023;0
7;2023;0
8;2023;0
9;2023;0
10;2023;0
11;2023;0
12;2023;0
1;2024;0
2;2024;0
3;2024;0
4;2024;0
5;2024;0
6;2024;0
7;2024;0
8;2024;0
9;2024;0
10;2024;0
11;2024;0
12;2024;0
