bulan,tahun,curah_hujan_mm,prediksi_banjir
1,2021,334.0,1
2,2021,264.0,1
3,2021,316.0,1
4,2021,230.0,1
5,2021,123.0,1
6,2021,272.0,1
7,2021,16.0,0
8,2021,12.0,0
9,2021,170.0,1
10,2021,173.0,1
11,2021,472.0,1
12,2021,356.0,1
1,2022,255.0,1
2,2022,251.0,1
3,2022,422.0,1
4,2022,339.0,1
5,2022,207.8,1
6,2022,279.8,1
7,2022,97.0,1
8,2022,53.2,0
9,2022,100.4,1
10,2022,560.2,1
11,2022,480.0,1
12,2022,413.3,1
1,2023,259.0,1
2,2023,392.9,1
3,2023,347.5,1
4,2023,380.6,1
5,2023,76.0,1
6,2023,5.0,0
7,2023,21.0,0
8,2023,1.0,0
9,2023,0.0,0
10,2023,0.0,0
11,2023,195.5,1
12,2023,276.5,1
1,2024,657.5,1
2,2024,332.5,1
3,2024,273.5,1
4,2024,452.7,1
5,2024,29.0,0
6,2024,52.6,0
7,2024,25.0,0
